User,Serie,dateTime,date,interest,pleasure,importance,required,anxiety_guilt,for_others,autonomy,relatedness,competence,own_question,Average basic needs satisfaction,Average autonomous motivation,Average controlled motivation,task,task_uncategorised,task_idiographic,project_name,time_since_break,others_task,location,sleep_quality,satisfaction_work,productivity_work,strategies
Moti_P10,beginning,2018-11-16T07:20:58Z,2018-11-16,25,23,25,0,0,0,47,36,34,24,39,24.3333333333333,0,Email,22,23,10,No breaks yet,0,at_home,24,NA,NA,NA
Moti_P10,middle3,2018-11-16T09:10:25Z,2018-11-16,16,18,13,49,39,34,38,35,49,23,40.6666666666667,15.6666666666667,40.6666666666667,Writing internal communication,39,21,18,60,0,in_public,NA,NA,NA,NA
Moti_P10,middle3,2018-11-16T09:12:54Z,2018-11-16,15,13,5,49,40,37,40,23,49,25,37.3333333333333,11,42,Writing internal communication,39,21,18,60,0,in_public,NA,NA,NA,NA
Moti_P10,middle3,2018-11-16T12:03:02Z,2018-11-16,7,7,41,26,13,0,49,41,49,25,46.3333333333333,18.3333333333333,13,Internal meeting,27,20,10,30,1,in_office,NA,NA,NA,NA
Moti_P10,middle3,2018-11-19T09:56:10Z,2018-11-19,9,9,31,11,9,9,24,12,12,22,16,16.3333333333333,9.66666666666667,Internal meeting,27,20,NA,60,1,in_office,NA,NA,NA,NA
Moti_P10,middle3,2018-11-19T11:10:51Z,2018-11-19,12,9,13,38,7,6,37,22,23,21,27.3333333333333,11.3333333333333,17,Email,22,23,10,60,0,in_office,NA,NA,NA,NA
Moti_P10,middle3,2018-11-21T10:33:40Z,2018-11-21,14,13,13,37,41,40,24,8,14,19,15.3333333333333,13.3333333333333,39.3333333333333,Planning training,32,8,18,60,0,at_home,NA,NA,NA,NA
Moti_P10,middle3,2018-11-21T12:10:20Z,2018-11-21,10,19,10,39,38,38,26,15,18,20,19.6666666666667,13,38.3333333333333,Planning training,32,8,18,30,0,at_home,NA,NA,NA,NA
Moti_P10,end,2018-11-21T14:55:01Z,2018-11-21,6,16,10,45,41,25,22,11,27,30,20,10.6666666666667,37,Planning training,32,8,18,60,0,at_home,NA,9,9,set_goal;avoid_distract;self_monitor
Moti_P10,beginning,2018-11-22T07:23:17Z,2018-11-22,36,32,22,8,7,9,23,26,25,24,24.6666666666667,30,8,Participating event,28,26,18,No breaks yet,3,in_office,25,NA,NA,NA
Moti_P10,middle3,2018-11-22T11:40:24Z,2018-11-22,32,34,24,30,8,4,29,33,31,22,31,30,14,Internal meeting,27,20,10,90,1,in_office,NA,NA,NA,NA
Moti_P10,middle3,2018-11-22T13:35:29Z,2018-11-22,32,36,28,7,13,0,35,40,39,25,38,32,6.66666666666667,Internal meeting,27,20,10,60,1,in_office,NA,NA,NA,NA
Moti_P10,end,2018-11-22T14:50:07Z,2018-11-22,9,24,6,42,43,25,25,24,24,22,24.3333333333333,13,36.6666666666667,Email,22,23,NA,60,0,in_office,NA,24,24,thought_meaning;set_goal;support_others;self_kindness;obtain_emo_support;self_monitor
Moti_P10,middle3,2018-11-23T09:24:59Z,2018-11-23,25,12,24,40,33,24,25,34,25,26,28,20.3333333333333,32.3333333333333,Creating presentation,33,2,18,60,1,in_office,NA,NA,NA,NA
Moti_P10,end,2018-11-23T15:49:49Z,2018-11-23,40,24,23,38,7,10,26,40,38,23,34.6666666666667,29,18.3333333333333,Internal meeting,27,20,10,60,1,in_office,NA,34,34,thought_meaning;set_goal;support_others;obtain_emo_support;self_monitor
Moti_P10,middle3,2018-11-26T09:12:21Z,2018-11-26,25,24,23,41,44,25,36,13,26,18,25,24,36.6666666666667,Planning training,32,8,18,0,0,in_office,NA,NA,NA,NA
Moti_P10,middle3,2018-11-26T10:58:40Z,2018-11-26,25,23,25,41,41,24,25,17,23,20,21.6666666666667,24.3333333333333,35.3333333333333,Planning training,32,8,18,30,0,in_office,NA,NA,NA,NA
Moti_P10,middle3,2018-11-26T13:42:02Z,2018-11-26,26,25,27,42,14,16,24,34,33,19,30.3333333333333,26,24,Providing training,25,6,18,60,3,in_office,NA,NA,NA,NA
Moti_P10,end,2018-11-26T14:51:39Z,2018-11-26,0,0,12,44,33,42,26,14,7,18,15.6666666666667,4,39.6666666666667,Email,22,23,10,240,0,in_office,NA,23,23,thought_meaning;set_goal;support_others;self_kindness;obtain_emo_support;self_talk_capability
Moti_P10,beginning,2018-11-27T07:51:16Z,2018-11-27,10,8,10,8,9,7,36,23,35,15,31.3333333333333,9.33333333333333,8,Internal meeting,27,20,10,30,1,in_field,17,NA,NA,NA
Moti_P10,middle3,2018-11-27T10:15:32Z,2018-11-27,38,35,23,11,12,12,23,36,24,49,27.6666666666667,32,11.6666666666667,Internal meeting,27,20,10,60,3,in_field,NA,NA,NA,NA
