autonomy,competence,relatedness,pleasure,interest,importance,situation_requires,anxiety_guilt_avoidance,another_wants,Date,User
33,49,41,29,42,37,49,0,9,2018-10-09T04:54:56Z,Moti_P01
36,37,36,30,41,32,35,0,23,2018-10-09T04:57:02Z,Moti_P01
37,45,46,15,17,34,37,6,36,2018-10-09T06:42:40Z,Moti_P01
43,46,45,18,25,33,41,10,25,2018-10-10T03:57:10Z,Moti_P01
24,45,41,29,37,37,35,0,10,2018-10-10T04:48:10Z,Moti_P01
15,38,44,10,36,37,37,5,30,2018-10-10T07:21:22Z,Moti_P01
19,35,38,34,36,38,34,0,20,2018-10-10T08:53:45Z,Moti_P01
39,43,33,35,40,37,35,0,28,2018-10-10T11:51:46Z,Moti_P01
35,41,35,24,25,39,34,0,18,2018-10-11T04:03:45Z,Moti_P01
39,38,32,23,35,32,31,6,27,2018-10-11T06:15:32Z,Moti_P01
33,40,35,32,32,32,29,0,18,2018-10-11T06:16:32Z,Moti_P01
36,37,35,32,36,27,32,6,26,2018-10-11T07:19:41Z,Moti_P01
14,35,34,9,11,14,39,1,31,2018-10-12T03:42:13Z,Moti_P01
43,46,38,37,34,36,29,0,17,2018-10-12T05:21:56Z,Moti_P01
45,43,37,36,38,38,28,0,13,2018-10-12T05:22:58Z,Moti_P01
34,36,31,31,35,34,26,0,19,2018-10-12T05:23:52Z,Moti_P01
45,44,44,39,38,43,29,0,7,2018-10-16T03:55:14Z,Moti_P01
39,39,34,33,38,38,31,0,14,2018-10-16T06:17:39Z,Moti_P01
39,36,40,37,36,33,31,0,15,2018-10-16T06:18:28Z,Moti_P01
38,35,36,28,36,35,28,0,10,2018-10-16T06:19:11Z,Moti_P01
39,44,42,46,47,47,48,1,46,2018-10-17T05:09:43Z,Moti_P01
0,0,0,0,0,0,40,0,0,2018-10-17T05:10:37Z,Moti_P01
0,0,0,0,0,0,0,0,0,2018-10-17T05:10:49Z,Moti_P01
37,41,39,11,12,11,40,10,17,2018-10-23T03:28:13Z,Moti_P01
14,46,38,38,45,43,17,0,20,2018-10-23T05:19:30Z,Moti_P01
19,43,40,36,39,41,35,0,47,2018-10-23T05:20:33Z,Moti_P01
24,39,37,35,38,38,35,0,49,2018-10-23T05:21:23Z,Moti_P01
24,38,25,20,24,30,47,10,13,2018-10-24T03:07:47Z,Moti_P01
14,33,30,13,22,24,29,0,19,2018-10-24T06:36:24Z,Moti_P01
17,33,39,19,23,14,25,0,11,2018-10-24T06:37:21Z,Moti_P01
28,32,44,25,31,20,24,0,11,2018-10-24T06:38:20Z,Moti_P01
25,34,36,25,21,23,20,0,18,2018-10-24T10:54:56Z,Moti_P01
22,41,36,17,33,38,43,9,13,2018-10-25T03:28:47Z,Moti_P01
21,45,43,14,13,34,37,5,15,2018-10-25T05:01:02Z,Moti_P01
25,41,41,14,10,40,33,0,21,2018-10-25T05:02:08Z,Moti_P01
25,43,42,16,5,40,39,0,29,2018-10-25T05:02:51Z,Moti_P01
42,46,31,35,36,37,33,0,0,2018-10-25T10:57:35Z,Moti_P01
37,39,16,41,38,37,34,0,14,2018-10-26T03:42:08Z,Moti_P01
40,39,25,40,40,41,40,7,0,2018-10-26T07:36:27Z,Moti_P01
36,39,19,38,39,37,34,5,2,2018-10-26T07:37:23Z,Moti_P01
38,37,17,36,39,40,32,4,0,2018-10-26T07:38:11Z,Moti_P01
31,36,26,16,33,31,36,8,11,2018-10-29T05:07:24Z,Moti_P01
33,28,39,12,21,33,27,0,10,2018-10-29T06:37:10Z,Moti_P01
26,38,31,13,22,37,26,0,12,2018-10-29T06:37:57Z,Moti_P01
23,34,31,17,25,22,32,1,15,2018-10-29T06:38:39Z,Moti_P01
9,33,37,12,30,16,27,0,12,2018-10-29T12:52:19Z,Moti_P01
22,20,23,16,20,30,26,0,16,2018-10-30T06:02:59Z,Moti_P01
38,38,32,14,21,13,41,0,19,2018-10-30T06:04:25Z,Moti_P01
31,30,32,16,26,16,34,0,24,2018-10-30T08:28:29Z,Moti_P01
0,0,0,0,0,0,0,0,0,2018-10-30T08:29:22Z,Moti_P01
0,0,0,0,0,0,0,0,0,2018-10-30T10:57:35Z,Moti_P01
0,0,0,0,0,0,0,0,0,2018-10-30T12:20:10Z,Moti_P01
42,39,21,37,39,36,36,0,11,2018-10-31T04:55:20Z,Moti_P01
43,45,15,41,39,41,32,0,7,2018-10-31T10:15:43Z,Moti_P01
47,45,14,36,43,46,33,0,5,2018-10-31T10:16:28Z,Moti_P01
35,39,20,38,45,42,33,0,7,2018-10-31T10:17:10Z,Moti_P01
17,36,20,10,19,24,40,0,16,2018-10-31T10:18:04Z,Moti_P01
20,28,20,15,23,30,21,0,17,2018-10-31T12:46:05Z,Moti_P01
29,43,41,12,30,30,29,0,13,2018-11-01T06:22:23Z,Moti_P01
0,0,0,0,0,0,0,0,0,2018-11-01T09:03:24Z,Moti_P01
